timestr,localtime,venue,unixtime,winner,tz,ateam,ascore,ateamid,id,is_final,roundname,year,agoals,updated,hbehinds,round,hteam,complete,date,winnerteamid,abehinds,hgoals,is_grand_final,hscore,hteamid,result
Full Time,2026-03-05 19:30:00,S.C.G.,1772699400,Sydney,+11:00,Carlton,69,3.0,38494,0,Opening Round,2026,10.0,2026-03-05 22:16:49,12.0,0,Sydney,100,2026-03-05 19:30:00,16.0,9.0,20.0,0,132,16.0,home
Full Time,2026-03-06 19:05:00,Carrara,1772787900,Gold Coast,+11:00,Geelong,69,7.0,38495,0,Opening Round,2026,10.0,2026-03-06 22:49:32,11.0,0,Gold Coast,100,2026-03-06 20:05:00,8.0,9.0,19.0,0,125,8.0,home
Full Time,2026-03-07 16:15:00,Sydney Showground,1772860500,Greater Western Sydney,+11:00,Hawthorn,95,10.0,38496,0,Opening Round,2026,14.0,2026-03-07 19:04:20,8.0,0,Greater Western Sydney,100,2026-03-07 16:15:00,9.0,11.0,19.0,0,122,9.0,home
Full Time,2026-03-07 18:35:00,Gabba,1772872500,Western Bulldogs,+11:00,Western Bulldogs,111,18.0,38497,0,Opening Round,2026,16.0,2026-03-07 22:21:35,16.0,0,Brisbane Lions,100,2026-03-07 19:35:00,18.0,15.0,15.0,0,106,2.0,away
Full Time,2026-03-08 19:20:00,M.C.G.,1772958000,Collingwood,+11:00,Collingwood,78,4.0,38498,0,Opening Round,2026,11.0,2026-03-08 21:52:34,12.0,0,St Kilda,100,2026-03-08 19:20:00,4.0,12.0,9.0,0,66,15.0,away
Full Time,2026-03-12 19:30:00,M.C.G.,1773304200,Carlton,+11:00,Richmond,71,14.0,38499,0,Round 1,2026,9.0,2026-03-12 22:09:58,15.0,1,Carlton,100,2026-03-12 19:30:00,3.0,17.0,10.0,0,75,3.0,home
Full Time,2026-03-13 19:40:00,M.C.G.,1773391200,Hawthorn,+11:00,Hawthorn,145,10.0,38500,0,Round 1,2026,21.0,2026-03-13 22:19:54,5.0,1,Essendon,100,2026-03-13 19:40:00,10.0,19.0,13.0,0,83,5.0,away
Full Time,2026-03-14 13:15:00,Docklands,1773454500,Western Bulldogs,+11:00,Greater Western Sydney,53,9.0,38501,0,Round 1,2026,7.0,2026-03-14 15:53:37,8.0,1,Western Bulldogs,100,2026-03-14 13:15:00,18.0,11.0,21.0,0,134,18.0,home
Full Time,2026-03-14 16:15:00,Kardinia Park,1773465300,Geelong,+11:00,Fremantle,100,6.0,38502,0,Round 1,2026,14.0,2026-03-14 18:56:07,14.0,1,Geelong,100,2026-03-14 16:15:00,7.0,16.0,16.0,0,110,7.0,home
Full Time,2026-03-14 19:10:00,S.C.G.,1773475800,Sydney,+11:00,Brisbane Lions,60,2.0,38503,0,Round 1,2026,8.0,2026-03-14 21:42:36,14.0,1,Sydney,100,2026-03-14 19:10:00,16.0,12.0,15.0,0,104,16.0,home
Full Time,2026-03-14 19:35:00,M.C.G.,1773477300,Adelaide,+11:00,Adelaide,93,1.0,38504,0,Round 1,2026,13.0,2026-03-14 22:07:14,13.0,1,Collingwood,100,2026-03-14 19:35:00,1.0,15.0,11.0,0,79,4.0,away
Full Time,2026-03-15 13:10:00,Docklands,1773540600,North Melbourne,+11:00,Port Adelaide,67,13.0,38505,0,Round 1,2026,9.0,2026-03-15 15:51:28,11.0,1,North Melbourne,100,2026-03-15 13:10:00,12.0,13.0,17.0,0,113,12.0,home
Full Time,2026-03-15 15:15:00,M.C.G.,1773548100,Melbourne,+11:00,St Kilda,107,15.0,38506,0,Round 1,2026,15.0,2026-03-15 18:01:03,12.0,1,Melbourne,100,2026-03-15 15:15:00,11.0,17.0,18.0,0,120,11.0,home
Full Time,2026-03-15 17:10:00,Carrara,1773558600,Gold Coast,+11:00,West Coast,72,17.0,38507,0,Round 1,2026,10.0,2026-03-15 20:49:24,11.0,1,Gold Coast,100,2026-03-15 18:10:00,8.0,12.0,20.0,0,131,8.0,home
Full Time,2026-03-19 19:30:00,M.C.G.,1773909000,Hawthorn,+11:00,Sydney,82,16.0,38508,0,Round 2,2026,13.0,2026-03-19 22:11:12,15.0,2,Hawthorn,100,2026-03-19 19:30:00,10.0,4.0,14.0,0,99,10.0,home
Full Time,2026-03-20 19:10:00,Adelaide Oval,1773996000,Western Bulldogs,+11:00,Western Bulldogs,94,18.0,38509,0,Round 2,2026,14.0,2026-03-20 22:22:28,10.0,2,Adelaide,100,2026-03-20 19:40:00,18.0,10.0,13.0,0,88,1.0,away
Full Time,2026-03-21 13:15:00,M.C.G.,1774059300,Gold Coast,+11:00,Gold Coast,128,8.0,38510,0,Round 2,2026,19.0,2026-03-21 15:52:53,6.0,2,Richmond,100,2026-03-21 13:15:00,8.0,14.0,9.0,0,60,14.0,away
Full Time,2026-03-21 16:15:00,Sydney Showground,1774070100,St Kilda,+11:00,St Kilda,78,15.0,38511,0,Round 2,2026,11.0,2026-03-21 19:40:57,14.0,2,Greater Western Sydney,100,2026-03-21 16:15:00,15.0,12.0,10.0,0,74,9.0,away
Full Time,2026-03-21 16:35:00,Perth Stadium,1774082100,Fremantle,+11:00,Melbourne,70,11.0,38512,0,Round 2,2026,10.0,2026-03-21 22:15:15,16.0,2,Fremantle,100,2026-03-21 19:35:00,6.0,10.0,17.0,0,118,6.0,home
Full Time,2026-03-22 14:45:00,Adelaide Oval,1774152900,Port Adelaide,+11:00,Essendon,70,5.0,38513,0,Round 2,2026,10.0,2026-03-22 17:55:32,13.0,2,Port Adelaide,100,2026-03-22 15:15:00,13.0,10.0,20.0,0,133,13.0,home
Full Time,2026-03-22 15:10:00,Perth Stadium,1774163400,West Coast,+11:00,North Melbourne,94,12.0,38514,0,Round 2,2026,15.0,2026-03-22 21:00:21,9.0,2,West Coast,100,2026-03-22 18:10:00,17.0,4.0,17.0,0,111,17.0,home
Full Time,2026-03-26 19:30:00,Kardinia Park,1774513800,Geelong,+11:00,Adelaide,60,1.0,38515,0,Round 3,2026,9.0,2026-03-26 22:07:55,14.0,3,Geelong,100,2026-03-26 19:30:00,7.0,6.0,9.0,0,68,7.0,home
Full Time,2026-03-27 19:40:00,Docklands,1774600800,Collingwood,+11:00,Greater Western Sydney,54,9.0,38516,0,Round 3,2026,7.0,2026-03-27 22:10:32,9.0,3,Collingwood,100,2026-03-27 19:40:00,4.0,12.0,13.0,0,87,4.0,home
